step,total,pct,t,eta,P,dP,r12,Vg,norm
250,50266,0.5,2.5,2873.5,0.98922486,-0.01037165,8.04593008,9.1701041e-07,1.0
500,50266,1.0,5.0,2864.4,0.98027332,-0.01932318,8.04731786,8.702396e-07,1.0
750,50266,1.5,7.5,2845.2,0.96873868,-0.03085783,8.0495559,9.7838091e-07,1.0
1000,50266,2.0,10.0,2826.4,0.96213966,-0.03745685,8.05223372,1.0446638e-06,1.0
1250,50266,2.5,12.5,2808.4,0.95135775,-0.04823875,8.05525569,1.1280761e-06,1.0
1500,50266,3.0,15.0,2791.0,0.94621515,-0.05338136,8.05513223,1.1168483e-06,1.0
1750,50266,3.5,17.5,2775.4,0.93798659,-0.06160991,8.05421025,9.9354088e-07,1.0
2000,50266,4.0,20.0,2759.2,0.93213324,-0.06746326,8.05395993,8.6888142e-07,1.0
2250,50266,4.5,22.5,2719.7,0.92782663,-0.07176988,8.052474,9.2131542e-07,1.0
2500,50266,5.0,25.0,2680.8,0.92070668,-0.07888982,8.05491009,8.7622529e-07,1.0
2750,50266,5.5,27.5,2648.2,0.91681868,-0.08277782,8.05457202,1.0023857e-06,1.0
3000,50266,6.0,30.0,2626.7,0.91476177,-0.08483473,8.05609726,1.0628564e-06,1.0
3250,50266,6.5,32.5,2615.1,0.90596362,-0.09363289,8.06055855,6.7724165e-07,1.0
3500,50266,7.0,35.0,2593.0,0.90535923,-0.09423727,8.06225794,6.2288434e-07,1.0
3750,50266,7.5,37.5,2582.7,0.90219266,-0.09740385,8.06299489,8.0217231e-07,1.0
4000,50266,8.0,40.0,2572.1,0.89772765,-0.10186885,8.06685434,8.9538673e-07,1.0
4250,50266,8.5,42.5,2556.7,0.89107045,-0.10852605,8.06917372,6.554862e-07,1.0
4500,50266,9.0,45.0,2540.6,0.89108246,-0.10851405,8.0681113,5.7149558e-07,1.0
4750,50266,9.4,47.5,2524.9,0.88894347,-0.11065303,8.06717341,7.2512902e-07,1.0
5000,50266,9.9,50.0,2509.2,0.88461969,-0.11497681,8.06966064,1.1170329e-06,1.0
5250,50266,10.4,52.5,2493.2,0.87819567,-0.12140084,8.07470249,1.2139136e-06,1.0
5500,50266,10.9,55.0,2478.3,0.8739185,-0.125678,8.07735172,1.0704658e-06,1.0
5750,50266,11.4,57.5,2463.9,0.87339506,-0.12620145,8.0790041,1.1627854e-06,1.0
6000,50266,11.9,60.0,2449.3,0.87079132,-0.12880518,8.07919425,1.2252464e-06,1.0
6250,50266,12.4,62.5,2429.9,0.86825063,-0.13134587,8.08428672,1.6715435e-06,1.0
6500,50266,12.9,65.0,2409.2,0.86026716,-0.13932934,8.08948897,2.1761693e-06,1.0
6750,50266,13.4,67.5,2390.9,0.85440047,-0.14519603,8.09648088,3.188489e-06,1.0
7000,50266,13.9,70.0,2373.1,0.84803911,-0.15155739,8.10071507,3.548517e-06,1.0
7250,50266,14.4,72.5,2356.1,0.84475185,-0.15484466,8.10311299,3.6420363e-06,1.0
7500,50266,14.9,75.0,2342.8,0.84228012,-0.15731639,8.10563798,3.8781992e-06,1.0
7750,50266,15.4,77.5,2330.7,0.83787924,-0.16171726,8.10712673,4.2962616e-06,1.0
8000,50266,15.9,80.0,2315.4,0.83342942,-0.16616708,8.11422951,5.0224797e-06,1.0
8250,50266,16.4,82.5,2304.7,0.82409129,-0.17550522,8.1205309,6.1271798e-06,1.0
8500,50266,16.9,85.0,2293.1,0.81485978,-0.18473672,8.13154332,8.2247308e-06,1.0
8750,50266,17.4,87.5,2281.4,0.80358745,-0.19600906,8.14202755,9.7418779e-06,1.0
9000,50266,17.9,90.0,2269.6,0.79218379,-0.20741272,8.15153166,1.131245e-05,1.0
9250,50266,18.4,92.5,2257.9,0.78228417,-0.21731233,8.1629018,1.2797344e-05,1.0
9500,50266,18.9,95.0,2245.7,0.77121338,-0.22838312,8.16976984,1.3107145e-05,1.0
9750,50266,19.4,97.5,2233.7,0.76178478,-0.23781173,8.18052298,1.3545823e-05,1.0
10000,50266,19.9,100.0,2221.8,0.75038857,-0.24920793,8.18859836,1.4704365e-05,1.0
10250,50266,20.4,102.5,2209.6,0.73778967,-0.26180684,8.19868862,1.5224516e-05,1.0
10500,50266,20.9,105.0,2197.0,0.72353546,-0.27606104,8.21197672,1.7033574e-05,1.0
10750,50266,21.4,107.5,2184.5,0.70526876,-0.29432774,8.22252452,1.9821544e-05,1.0
11000,50266,21.9,110.0,2172.0,0.68533463,-0.31426188,8.23913795,2.2161568e-05,1.0
11250,50266,22.4,112.5,2158.8,0.66161592,-0.33798058,8.25236696,2.5780239e-05,1.0
11500,50266,22.9,115.0,2145.7,0.63499694,-0.36459956,8.26597048,2.8661555e-05,1.0
11750,50266,23.4,117.5,2132.7,0.60667782,-0.39291869,8.28083901,3.1933537e-05,1.0
12000,50266,23.9,120.0,2117.1,0.57547098,-0.42412552,8.2885569,3.4406241e-05,1.0
12250,50266,24.4,122.5,2100.5,0.54322198,-0.45637452,8.29806421,3.658877e-05,1.0
12500,50266,24.9,125.0,2083.8,0.5102727,-0.4893238,8.30171624,4.0040522e-05,1.0
12750,50266,25.4,127.5,2067.4,0.47643867,-0.52315783,8.30076485,4.2321389e-05,1.0
13000,50266,25.9,130.0,2051.3,0.44336762,-0.55622888,8.2994506,4.7235718e-05,1.0
13250,50266,26.4,132.5,2035.2,0.41142932,-0.58816718,8.29078974,5.2083079e-05,1.0
13500,50266,26.9,135.0,2019.5,0.38036719,-0.61922932,8.2820886,5.776292e-05,1.0
13750,50266,27.4,137.5,2004.5,0.35234741,-0.64724909,8.27108832,6.4475248e-05,1.0
14000,50266,27.9,140.0,1991.0,0.32670038,-0.67289612,8.25763633,6.9459648e-05,1.0
14250,50266,28.3,142.5,1976.9,0.30368831,-0.69590819,8.24661102,7.4503878e-05,1.0
14500,50266,28.8,145.0,1963.3,0.28511104,-0.71448547,8.23441196,7.8297771e-05,1.0
14750,50266,29.3,147.5,1950.6,0.26842972,-0.73116678,8.22452322,8.3235604e-05,1.0
15000,50266,29.8,150.0,1938.0,0.25542512,-0.74417139,8.21629074,8.9279043e-05,1.0
15250,50266,30.3,152.5,1925.2,0.24454728,-0.75504923,8.20817681,9.7654175e-05,1.0
15500,50266,30.8,155.0,1912.5,0.23406256,-0.76553394,8.20210492,0.00010805439,1.0
15750,50266,31.3,157.5,1899.9,0.22529867,-0.77429783,8.19473362,0.00011730453,1.0
16000,50266,31.8,160.0,1887.3,0.21440662,-0.78518989,8.18713843,0.00012617173,1.0
16250,50266,32.3,162.5,1874.4,0.203951,-0.79564551,8.17934043,0.00013396059,1.0
16500,50266,32.8,165.0,1861.4,0.19224259,-0.80735391,8.1693919,0.00013838466,1.0
16750,50266,33.3,167.5,1848.5,0.18037219,-0.81922431,8.1609581,0.00014123178,1.0
17000,50266,33.8,170.0,1835.4,0.17142872,-0.82816778,8.15357029,0.00014163272,1.0
17250,50266,34.3,172.5,1820.3,0.16293443,-0.83666208,8.14795475,0.00013854376,1.0
17500,50266,34.8,175.0,1805.0,0.15949177,-0.84010473,8.14654295,0.00013804052,1.0
17750,50266,35.3,177.5,1789.7,0.15653939,-0.84305712,8.14533786,0.00013997028,1.0
18000,50266,35.8,180.0,1774.4,0.15426065,-0.84533586,8.14483827,0.00014153645,1.0
18250,50266,36.3,182.5,1759.2,0.15049354,-0.84910297,8.1420443,0.00014610486,1.0
18500,50266,36.8,185.0,1743.9,0.14307186,-0.85652465,8.13678211,0.00014875862,1.0
18750,50266,37.3,187.5,1728.7,0.13626675,-0.86332975,8.13166034,0.00014846994,1.0
19000,50266,37.8,190.0,1714.6,0.12903976,-0.87055675,8.12701161,0.00014384358,1.0
19250,50266,38.3,192.5,1701.5,0.12758433,-0.87201218,8.12772656,0.00013939504,1.0
19500,50266,38.8,195.0,1687.1,0.12650977,-0.87308674,8.12831468,0.00013585376,1.0
19750,50266,39.3,197.5,1674.0,0.12518185,-0.87441465,8.12812012,0.00013667848,1.0
20000,50266,39.8,200.0,1661.1,0.11935074,-0.88024577,8.12410794,0.00014087825,1.0
20250,50266,40.3,202.5,1648.2,0.11243915,-0.88715735,8.11976177,0.00014073492,1.0
20500,50266,40.8,205.0,1635.3,0.10948562,-0.89011088,8.11966927,0.00013658482,1.0
20750,50266,41.3,207.5,1622.4,0.10907258,-0.89052392,8.12034413,0.00013205914,1.0
21000,50266,41.8,210.0,1609.5,0.10718345,-0.89241306,8.12028334,0.00013339262,1.0
21250,50266,42.3,212.5,1596.6,0.09936328,-0.90023322,8.11508897,0.00013577505,1.0
21500,50266,42.8,215.0,1583.5,0.09573332,-0.90386318,8.11545392,0.00013635151,1.0
21750,50266,43.3,217.5,1570.3,0.09493281,-0.9046637,8.1154903,0.00013255928,1.0
22000,50266,43.8,220.0,1557.2,0.0908864,-0.9087101,8.11468239,0.00013394338,1.0
22250,50266,44.3,222.5,1544.2,0.08267847,-0.91691803,8.11065999,0.00013681031,1.0
22500,50266,44.8,225.0,1530.9,0.08253728,-0.91705923,8.11346098,0.00013471938,1.0
22750,50266,45.3,227.5,1517.6,0.07629828,-0.92329822,8.10980837,0.00013442502,1.0
23000,50266,45.8,230.0,1502.9,0.06899215,-0.93060435,8.11022995,0.00013994839,1.0
23250,50266,46.3,232.5,1488.1,0.06708791,-0.93250859,8.10892555,0.00013708817,1.0
23500,50266,46.8,235.0,1473.3,0.05630356,-0.94329295,8.10810328,0.00013944217,1.0
23750,50266,47.2,237.5,1458.0,0.05341106,-0.94618545,8.10750204,0.00013920928,1.0
24000,50266,47.7,240.0,1442.6,0.0416656,-0.9579309,8.10622197,0.00013925183,1.0
24250,50266,48.2,242.5,1427.2,0.03720099,-0.96239551,8.10644198,0.00014084562,1.0
24500,50266,48.7,245.0,1411.9,0.02325884,-0.97633766,8.10505887,0.00014159874,1.0
24750,50266,49.2,247.5,1396.9,0.01896425,-0.98063225,8.10532819,0.00014195911,1.0
25000,50266,49.7,250.0,1382.2,0.00217342,-0.99742309,8.10517711,0.00014356792,1.0
25250,50266,50.2,252.5,1368.6,-0.00118771,-1.00078422,8.10451594,0.00014282888,1.0
25500,50266,50.7,255.0,1354.4,-0.01862046,-1.01821696,8.10596076,0.00014369832,1.0
25750,50266,51.2,257.5,1340.1,-0.02183189,-1.0214284,8.10455262,0.00014213878,1.0
26000,50266,51.7,260.0,1326.8,-0.03715916,-1.03675566,8.10741617,0.00014224423,1.0
26250,50266,52.2,262.5,1313.5,-0.04037618,-1.03997268,8.10532491,0.00014122819,1.0
26500,50266,52.7,265.0,1300.2,-0.05316927,-1.05276578,8.10947192,0.00014066516,1.0
26750,50266,53.2,267.5,1286.8,-0.05555812,-1.05515463,8.10690083,0.00013896729,1.0
27000,50266,53.7,270.0,1273.5,-0.06639055,-1.06598705,8.11176023,0.00014191821,1.0
27250,50266,54.2,272.5,1260.1,-0.06889305,-1.06848956,8.10937822,0.00013816149,1.0
27500,50266,54.7,275.0,1246.7,-0.07535805,-1.07495456,8.11295544,0.00014180622,1.0
27750,50266,55.2,277.5,1233.4,-0.08232074,-1.08191725,8.11379597,0.00013968168,1.0
28000,50266,55.7,280.0,1219.9,-0.08242964,-1.08202614,8.11347673,0.000134359,1.0
28250,50266,56.2,282.5,1206.0,-0.09006308,-1.08965958,8.11619322,0.00013734702,1.0
28500,50266,56.7,285.0,1192.2,-0.09470477,-1.09430127,8.11971522,0.00013951242,1.0
28750,50266,57.2,287.5,1178.5,-0.09564903,-1.09524553,8.11707098,0.00013279474,1.0
29000,50266,57.7,290.0,1164.9,-0.09902524,-1.09862175,8.12097624,0.00013042273,1.0
29250,50266,58.2,292.5,1151.0,-0.10626206,-1.10585857,8.12428423,0.00013342039,1.0
29500,50266,58.7,295.0,1137.2,-0.10925992,-1.10885642,8.12771838,0.00013398531,1.0
29750,50266,59.2,297.5,1123.4,-0.10919177,-1.10878827,8.12439562,0.00012754039,1.0
30000,50266,59.7,300.0,1109.5,-0.11255203,-1.11214853,8.12949608,0.00012004344,1.0
30250,50266,60.2,302.5,1095.8,-0.11831663,-1.11791314,8.13297814,0.00012037677,1.0
30500,50266,60.7,305.0,1082.1,-0.1251321,-1.12472861,8.1405024,0.00012170416,1.0
30750,50266,61.2,307.5,1068.8,-0.12610771,-1.12570421,8.14009617,0.00012053936,1.0
31000,50266,61.7,310.0,1055.4,-0.1277083,-1.12730481,8.14184843,0.00011371071,1.0
31250,50266,62.2,312.5,1041.8,-0.1290182,-1.12861471,8.14343596,0.00010635806,1.0
31500,50266,62.7,315.0,1028.4,-0.1356048,-1.1352013,8.15025352,9.8136747e-05,1.0
31750,50266,63.2,317.5,1015.0,-0.14271347,-1.14230997,8.15972518,9.455488e-05,1.0
32000,50266,63.7,320.0,1001.6,-0.14939694,-1.14899345,8.16560353,9.4596746e-05,1.0
32250,50266,64.2,322.5,988.2,-0.15433699,-1.15393349,8.17201386,9.3348277e-05,1.0
32500,50266,64.7,325.0,974.8,-0.1558937,-1.15549021,8.17352993,9.1912383e-05,1.0
32750,50266,65.2,327.5,961.3,-0.1593945,-1.15899101,8.1781268,8.7771547e-05,1.0
33000,50266,65.7,330.0,947.4,-0.16268026,-1.16227676,8.1827159,8.1519723e-05,1.0
33250,50266,66.1,332.5,933.2,-0.1703064,-1.1699029,8.19230839,7.4298157e-05,1.0
33500,50266,66.6,335.0,919.0,-0.17967302,-1.17926952,8.20429431,6.8219942e-05,1.0
33750,50266,67.1,337.5,904.9,-0.19050179,-1.1900983,8.21656575,6.3093611e-05,1.0
34000,50266,67.6,340.0,890.7,-0.20269453,-1.20229103,8.23040271,6.07142e-05,1.0
34250,50266,68.1,342.5,876.5,-0.21280329,-1.21239979,8.24168697,6.1177037e-05,1.0
34500,50266,68.6,345.0,862.4,-0.22374164,-1.22333815,8.25265369,6.1717924e-05,1.0
34750,50266,69.1,347.5,848.5,-0.23304079,-1.2326373,8.26279244,6.5136222e-05,1.0
35000,50266,69.6,350.0,834.9,-0.24282314,-1.24241964,8.27303826,6.801645e-05,1.0
35250,50266,70.1,352.5,820.9,-0.25435782,-1.25395432,8.28400976,7.0657733e-05,1.0
35500,50266,70.6,355.0,806.9,-0.26681099,-1.2664075,8.29732345,7.4379033e-05,1.0
